1339,1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639
1186,1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557
1208,1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759
1163,1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435
1147,861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095
861,889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027
889,725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099
725,679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917
679,801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844
801,805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691
805,1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203
1010,1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16
1236,1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16,-631
1330,1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16,-631,-926
1390,1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16,-631,-926,-477
1156,1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16,-631,-926,-477,-353
1372,1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16,-631,-926,-477,-353,-31
1703,2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16,-631,-926,-477,-353,-31,67
2091,2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16,-631,-926,-477,-353,-31,67,-339
2023,2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16,-631,-926,-477,-353,-31,67,-339,-472
2075,1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16,-631,-926,-477,-353,-31,67,-339,-472,-406
1928,1685,1639,1557,1759,1435,1095,1027,1099,917,844,691,203,16,-631,-926,-477,-353,-31,67,-339,-472,-406,-417
